#{"t_start": 1761889711.5764668, "env_id": "SafetyPointGoal1-v0"}
r,l,t,cost
470.788507,1000,6.72147,0.0
232.987788,1000,9.534142,0.0
290.148791,1000,13.419326,0.0
270.795222,1000,16.283041,0.0
164.538098,1000,20.152273,0.0
59.977645,1000,22.899214,0.0
452.189065,1000,26.880236,0.0
115.41412,1000,29.815161,0.0
67.32182,1000,34.01376,0.0
182.982144,1000,37.05795,1.0
446.670277,1000,41.310445,0.0
393.197511,1000,44.230328,0.0
249.339536,1000,48.228948,0.0
192.201785,1000,50.821031,0.0
117.688823,1000,54.519549,1.0
405.867551,1000,57.063718,0.0
376.223279,1000,60.645169,0.0
408.804027,1000,63.17676,0.0
204.544278,1000,66.777884,0.0
187.66782,1000,69.325439,0.0
272.765799,1000,72.980028,0.0
224.975821,1000,75.46018,0.0
249.4648,1000,79.076195,0.0
41.812448,1000,81.575754,0.0
394.67536,1000,85.357052,0.0
128.202568,1000,87.943126,0.0
367.520887,1000,91.792051,0.0
210.810434,1000,94.773634,0.0
204.256882,1000,98.439422,0.0
430.26831,1000,100.940737,0.0
174.485575,1000,104.634552,1.0
381.872547,1000,107.140072,0.0
517.546721,1000,110.912447,0.0
313.053512,1000,113.429667,0.0
404.872222,1000,117.120173,1.0
235.600132,1000,119.842968,0.0
427.249098,1000,123.505212,0.0
437.067589,1000,126.03763,0.0
316.071557,1000,129.766043,0.0
299.961539,1000,132.658198,0.0
272.118527,1000,136.487775,0.0
536.276459,1000,139.049432,1.0
514.608749,1000,141.603064,0.0
454.624011,1000,145.319393,0.0
407.829906,1000,147.819097,0.0
459.652576,1000,151.719346,0.0
399.733237,1000,154.199938,0.0
352.70209,1000,158.056363,0.0
21.671198,1000,160.617471,0.0
246.609216,1000,164.318816,0.0
438.859866,1000,166.932819,0.0
481.840912,1000,170.958318,0.0
451.995112,1000,173.575897,0.0
357.423701,1000,177.366564,0.0
410.38245,1000,180.116177,1.0
458.851881,1000,183.821809,0.0
417.329543,1000,186.458224,1.0
244.655848,1000,190.254523,0.0
552.07715,1000,193.157793,0.0
309.009826,1000,197.09165,0.0
369.370782,1000,199.819767,0.0
359.503231,1000,203.53616,0.0
420.581188,1000,206.245697,0.0
236.919934,1000,209.881235,0.0
424.061494,1000,212.469074,0.0
207.998134,1000,216.758677,0.0
254.835082,1000,220.014458,0.0
311.103074,1000,225.160792,0.0
399.013758,1000,228.914843,0.0
451.711249,1000,233.39388,0.0
306.025899,1000,236.257509,0.0
373.897099,1000,240.042199,0.0
412.265962,1000,243.150902,0.0
303.97254,1000,247.482135,0.0
484.402379,1000,251.069735,0.0
539.15156,1000,255.359122,0.0
507.959029,1000,258.171601,0.0
385.294206,1000,262.215412,0.0
537.162638,1000,265.111243,0.0
539.742015,1000,269.594185,0.0
212.876012,1000,272.470509,0.0
470.192688,1000,276.438948,0.0
453.869052,1000,279.207825,0.0
323.246869,1000,283.344577,0.0
282.427904,1000,286.539402,1.0
210.089556,1000,289.421328,0.0
230.771679,1000,293.209582,0.0
81.147909,1000,295.806837,0.0
268.897142,1000,299.621933,0.0
295.397839,1000,302.178597,0.0
381.157324,1000,306.033659,0.0
328.513537,1000,308.58373,1.0
362.021838,1000,312.674236,0.0
420.860172,1000,315.472725,0.0
