#{"t_start": 1761733453.527621, "env_id": "SafetyPointGoal1-v0"}
r,l,t,cost
469.524177,1000,3.069049,0.0
233.665092,1000,4.651469,0.0
163.556292,1000,9.590456,0.0
471.354228,1000,11.121253,0.0
327.137785,1000,15.205189,0.0
408.124099,1000,16.780753,0.0
380.044842,1000,20.275679,0.0
341.274984,1000,21.886103,1.0
97.338081,1000,24.170444,0.0
451.162412,1000,25.762234,0.0
241.6274,1000,28.012187,0.0
259.250972,1000,29.611341,0.0
358.2297,1000,31.856182,0.0
399.474187,1000,33.486179,0.0
239.796975,1000,35.694274,0.0
134.888677,1000,37.358104,1.0
429.351874,1000,39.616786,1.0
273.719581,1000,41.275477,1.0
75.444982,1000,43.383182,1.0
406.461755,1000,45.182793,1.0
441.555189,1000,47.374617,0.0
302.899774,1000,49.161307,0.0
266.904157,1000,51.283053,0.0
143.330498,1000,53.021137,0.0
81.246081,1000,55.445087,0.0
133.858591,1000,57.236083,0.0
356.492671,1000,59.372656,1.0
192.98054,1000,61.169427,0.0
333.696479,1000,63.227889,0.0
300.029499,1000,64.944999,0.0
266.131413,1000,67.052512,0.0
174.549081,1000,68.797595,1.0
111.102463,1000,71.060706,0.0
408.02151,1000,72.756005,0.0
428.131416,1000,75.094116,0.0
431.075066,1000,76.851031,1.0
361.617861,1000,78.978203,0.0
390.180705,1000,80.746665,0.0
273.197884,1000,82.880862,1.0
370.77092,1000,84.620876,1.0
362.045065,1000,86.713946,0.0
373.380856,1000,88.435798,0.0
380.820018,1000,90.020118,1.0
453.615329,1000,92.331279,0.0
326.697052,1000,93.944157,0.0
244.81607,1000,96.261026,0.0
73.823881,1000,97.870548,0.0
151.774781,1000,100.233058,1.0
225.184456,1000,101.85972,0.0
347.750388,1000,104.739288,0.0
131.369944,1000,106.338897,1.0
-1.314051,1000,108.942226,0.0
308.302877,1000,110.583695,0.0
194.172933,1000,113.132563,0.0
234.593588,1000,114.707652,0.0
292.284243,1000,117.945665,0.0
441.7267,1000,119.523013,0.0
121.342514,1000,122.686215,0.0
458.571985,1000,124.279802,0.0
242.981078,1000,128.257224,0.0
339.699285,1000,129.755837,0.0
230.788159,1000,131.718145,0.0
549.016678,1000,133.351312,0.0
345.944016,1000,135.30153,0.0
473.140107,1000,136.922134,0.0
326.83295,1000,139.014906,0.0
310.474619,1000,140.743955,0.0
271.107519,1000,142.813318,0.0
239.255269,1000,144.510101,0.0
260.082729,1000,146.615196,0.0
269.326848,1000,148.316272,1.0
507.372598,1000,150.408773,0.0
278.23198,1000,152.081248,0.0
-11.342707,1000,154.142913,1.0
220.912291,1000,155.820532,0.0
107.97446,1000,157.868664,0.0
327.187662,1000,159.514066,0.0
65.133411,1000,161.595959,0.0
333.425596,1000,163.269001,0.0
519.672826,1000,165.325697,0.0
503.339469,1000,167.01988,0.0
495.154378,1000,169.136911,0.0
377.895576,1000,170.880075,0.0
388.794969,1000,173.037708,1.0
188.942042,1000,174.763749,1.0
189.582438,1000,176.297052,0.0
240.353527,1000,180.947859,0.0
452.590681,1000,182.53442,0.0
402.081189,1000,190.146729,0.0
180.602822,1000,191.688845,0.0
382.522215,1000,195.58025,0.0
350.364228,1000,197.065479,0.0
169.373676,1000,199.2547,0.0
332.481592,1000,200.732107,0.0
394.836887,1000,202.876717,0.0
346.430331,1000,204.342808,1.0
423.327061,1000,206.503653,0.0
327.633439,1000,208.041211,0.0
116.545341,1000,210.430402,0.0
419.346327,1000,211.982939,0.0
529.482648,1000,215.01412,0.0
634.1767,1000,216.529169,1.0
483.520127,1000,220.396085,0.0
333.973105,1000,221.884177,1.0
479.511268,1000,223.954007,0.0
286.687726,1000,225.581043,0.0
429.572851,1000,228.100005,0.0
263.72366,1000,229.649828,0.0
304.379862,1000,231.666499,0.0
347.597218,1000,233.262344,0.0
432.564833,1000,235.23578,0.0
368.477878,1000,236.816298,0.0
486.771664,1000,238.818142,1.0
468.757456,1000,240.463952,0.0
484.444346,1000,242.829448,0.0
438.381411,1000,244.373115,0.0
525.91136,1000,246.532883,0.0
285.631253,1000,248.304612,0.0
375.150222,1000,251.314682,0.0
247.601083,1000,252.858907,0.0
272.823729,1000,256.064652,0.0
439.537618,1000,257.641912,0.0
395.179684,1000,259.592644,0.0
328.119417,1000,261.183217,0.0
229.783695,1000,264.918634,0.0
461.482671,1000,266.51167,0.0
254.360324,1000,271.491075,0.0
551.052348,1000,272.969522,0.0
475.473428,1000,274.531119,1.0
458.970997,1000,276.585545,0.0
424.858546,1000,278.204194,0.0
315.049735,1000,280.226799,0.0
195.649918,1000,281.835572,0.0
490.178776,1000,283.886666,0.0
489.70648,1000,285.505328,0.0
62.277778,1000,287.577387,0.0
108.170953,1000,289.259707,0.0
490.540891,1000,291.417817,0.0
523.605383,1000,292.950743,0.0
352.713283,1000,295.097141,0.0
259.312367,1000,296.66953,1.0
536.030046,1000,298.840886,0.0
329.066387,1000,300.365776,0.0
631.744445,1000,302.527077,0.0
477.962063,1000,304.059824,0.0
283.340417,1000,307.407251,0.0
480.770024,1000,308.905034,0.0
559.136936,1000,312.918913,0.0
481.78189,1000,314.392331,0.0
539.647968,1000,317.416781,0.0
467.927131,1000,318.87061,0.0
492.998876,1000,321.196611,0.0
313.533432,1000,322.651505,0.0
258.718925,1000,325.009963,0.0
278.67481,1000,326.471099,0.0
164.749901,1000,328.72522,1.0
499.489353,1000,330.190491,0.0
447.87796,1000,332.308082,0.0
248.02284,1000,333.763944,0.0
166.743253,1000,335.853685,0.0
215.33908,1000,337.305841,0.0
667.619093,1000,339.438613,0.0
321.04621,1000,340.916737,0.0
388.501622,1000,343.00782,0.0
346.562155,1000,344.457545,0.0
114.375933,1000,346.620985,0.0
190.669619,1000,348.064835,0.0
275.752069,1000,350.397764,0.0
342.095628,1000,351.937762,0.0
460.662572,1000,354.398724,0.0
433.041475,1000,355.954292,0.0
248.944097,1000,357.706436,0.0
510.521796,1000,360.124273,0.0
474.668577,1000,361.868043,0.0
252.887248,1000,363.979513,0.0
443.742699,1000,365.732952,0.0
459.844539,1000,367.856033,0.0
456.672532,1000,369.585285,0.0
264.931068,1000,371.788041,0.0
436.127344,1000,373.454633,0.0
483.55444,1000,375.498015,0.0
269.147865,1000,377.199464,0.0
576.903311,1000,379.285687,0.0
397.570941,1000,380.956102,0.0
307.91661,1000,383.020424,0.0
428.211664,1000,384.704837,0.0
392.879236,1000,386.74246,0.0
577.185842,1000,388.411872,0.0
151.822097,1000,390.538271,0.0
113.837197,1000,392.168627,1.0
251.379713,1000,394.250973,0.0
